Title,Latitude,Longitude,Date,Elevation,site_no,Mean Water Temp (C),Mean Specific Conductance,Turbidity (FNU),pH,normalized_turbidity,normalized_water_temp,normalized_specific_conductance,distance_from_mean,normalized_pH,cwi,cwi_100
"""Boston University Center for Integrated Life Sciences and Engineering""",42.3494,-71.1107,2023-07-23,8.99447250366211,1173000.0,20.5,,,7.535155427636872,,7.741035856573705,,0.0370518919508668,9.853517712563464,8.586028598969609,84
"""Boston University Center for Integrated Life Sciences and Engineering""",42.3494,-71.1107,2023-07-23,8.99447250366211,422302000000000.0,26.4,689.0,,7.707274638534327,,9.85657370517928,3.338533541341654,0.2091711028483214,9.165450110952168,7.796812631446498,76
"""Harvard Allston Science and Engineering Complex""",42.3577,-71.1342,2023-10-11,6.011198043823242,1095220.0,12.2,117.0,,8.744535899305236,,4.764940239043824,0.3640145605824232,1.2464323636192305,5.018871328597886,3.580084642213156,29
"""Harvard Allston Science and Engineering Complex""",42.3577,-71.1342,2023-10-11,6.011198043823242,1095375.0,13.9,173.0,,7.541275013074981,,5.374501992031872,0.6552262090483619,0.0431714773889755,9.829053921140646,5.298866605210519,48
"""Harvard Allston Science and Engineering Complex""",42.3577,-71.1342,2023-10-11,6.011198043823242,1095434.0,12.6,833.0,,6.533726797729567,,4.908366533864542,4.087363494539781,0.964376737956438,6.146423197205952,5.027524712155014,45
"""Harvard Allston Science and Engineering Complex""",42.3577,-71.1342,2023-10-11,6.011198043823242,1100568.0,15.4,,,6.147686487941734,,5.912350597609562,,1.350417047744271,4.603179832935313,5.388682291739862,49
"""Harvard Allston Science and Engineering Complex""",42.3577,-71.1342,2023-10-11,6.011198043823242,1104370.0,12.7,355.0,,8.648406195675827,,4.944223107569721,1.6016640665626625,1.1503026599898218,5.403161578797202,4.120331516204128,35
"""Harvard Allston Science and Engineering Complex""",42.3577,-71.1342,2023-10-11,6.011198043823242,1104405.0,12.6,300.0,,6.214489039395684,,4.908366533864542,1.315652626105044,1.2836144962903209,4.870231204602473,3.8709810375726654,32
"""Harvard Allston Science and Engineering Complex""",42.3577,-71.1342,2023-10-11,6.011198043823242,1104410.0,12.5,1100.0,,8.033768751001285,,4.872509960159363,5.475819032761311,0.5356652153152792,7.860249955002171,5.898523979429294,54
"""Harvard Allston Science and Engineering Complex""",42.3577,-71.1342,2023-10-11,6.011198043823242,1104415.0,13.6,,,7.740748820088098,,5.266932270916334,,0.2426452844020925,9.031632975157102,6.772812552612642,64
